WMO_box lon_min lon_max lat_min lat_max
3514 140 150 -60 -50
3614 140 150 -70 -60
3714 140 150 -80 -70
3814 140 150 -90 -80
1815 150 160 80 90
1715 150 160 70 80
1615 150 160 60 70
1515 150 160 50 60
1415 150 160 40 50
1315 150 160 30 40
1215 150 160 20 30
1115 150 160 10 20
1015 150 160 0 10
3015 150 160 -10 0
3115 150 160 -20 -10
3215 150 160 -30 -20
3315 150 160 -40 -30
3415 150 160 -50 -40
3515 150 160 -60 -50
3615 150 160 -70 -60
3715 150 160 -80 -70
3815 150 160 -90 -80
1816 160 170 80 90
1716 160 170 70 80
1616 160 170 60 70
1516 160 170 50 60
1416 160 170 40 50
1316 160 170 30 40
1216 160 170 20 30
1116 160 170 10 20
1016 160 170 0 10
3016 160 170 -10 0
3116 160 170 -20 -10
3216 160 170 -30 -20
3316 160 170 -40 -30
3416 160 170 -50 -40
3516 160 170 -60 -50
3616 160 170 -70 -60
3716 160 170 -80 -70
3816 160 170 -90 -80
1817 170 180 80 90
1717 170 180 70 80
1617 170 180 60 70
1517 170 180 50 60
1417 170 180 40 50
1317 170 180 30 40
1217 170 180 20 30
1117 170 180 10 20
1017 170 180 0 10
3017 170 180 -10 0
3117 170 180 -20 -10
3217 170 180 -30 -20
3317 170 180 -40 -30
3417 170 180 -50 -40
3517 170 180 -60 -50
3617 170 180 -70 -60
3717 170 180 -80 -70
3817 170 180 -90 -80
7817 -180 -170 80 90
7717 -180 -170 70 80
7617 -180 -170 60 70
7517 -180 -170 50 60
7417 -180 -170 40 50
7317 -180 -170 30 40
7217 -180 -170 20 30
7117 -180 -170 10 20
7017 -180 -170 0 10
5017 -180 -170 -10 0
5117 -180 -170 -20 -10
5217 -180 -170 -30 -20
5317 -180 -170 -40 -30
5417 -180 -170 -50 -40
5517 -180 -170 -60 -50
5617 -180 -170 -70 -60
5717 -180 -170 -80 -70
5817 -180 -170 -90 -80
7816 -170 -160 80 90
7716 -170 -160 70 80
7616 -170 -160 60 70
7516 -170 -160 50 60
7416 -170 -160 40 50
7316 -170 -160 30 40
7216 -170 -160 20 30
7116 -170 -160 10 20
7016 -170 -160 0 10
5016 -170 -160 -10 0
5116 -170 -160 -20 -10
5216 -170 -160 -30 -20
5316 -170 -160 -40 -30
5416 -170 -160 -50 -40
5516 -170 -160 -60 -50
5616 -170 -160 -70 -60
5716 -170 -160 -80 -70
5816 -170 -160 -90 -80
7815 -160 -150 80 90
7715 -160 -150 70 80
7615 -160 -150 60 70
7515 -160 -150 50 60
7415 -160 -150 40 50
7315 -160 -150 30 40
7215 -160 -150 20 30
7115 -160 -150 10 20
7015 -160 -150 0 10
5015 -160 -150 -10 0
5115 -160 -150 -20 -10
5215 -160 -150 -30 -20
5315 -160 -150 -40 -30
5415 -160 -150 -50 -40
5515 -160 -150 -60 -50
5615 -160 -150 -70 -60
5715 -160 -150 -80 -70
5815 -160 -150 -90 -80
7814 -150 -140 80 90
7714 -150 -140 70 80
7614 -150 -140 60 70
7514 -150 -140 50 60
7414 -150 -140 40 50
7314 -150 -140 30 40
7214 -150 -140 20 30
7114 -150 -140 10 20
7014 -150 -140 0 10
5014 -150 -140 -10 0
5114 -150 -140 -20 -10
5214 -150 -140 -30 -20
5314 -150 -140 -40 -30
5414 -150 -140 -50 -40
5514 -150 -140 -60 -50
5614 -150 -140 -70 -60
5714 -150 -140 -80 -70
5814 -150 -140 -90 -80
7813 -140 -130 80 90
7713 -140 -130 70 80
7613 -140 -130 60 70
7513 -140 -130 50 60
7413 -140 -130 40 50
7313 -140 -130 30 40
7213 -140 -130 20 30
7113 -140 -130 10 20
7013 -140 -130 0 10
5013 -140 -130 -10 0
5113 -140 -130 -20 -10
5213 -140 -130 -30 -20
5313 -140 -130 -40 -30
5413 -140 -130 -50 -40
5513 -140 -130 -60 -50
5613 -140 -130 -70 -60
5713 -140 -130 -80 -70
5813 -140 -130 -90 -80
7812 -130 -120 80 90
7712 -130 -120 70 80
7612 -130 -120 60 70
7512 -130 -120 50 60
7412 -130 -120 40 50
7312 -130 -120 30 40
7212 -130 -120 20 30
7112 -130 -120 10 20
7012 -130 -120 0 10
5012 -130 -120 -10 0
5112 -130 -120 -20 -10
5212 -130 -120 -30 -20
5312 -130 -120 -40 -30
5412 -130 -120 -50 -40
5512 -130 -120 -60 -50
5612 -130 -120 -70 -60
5712 -130 -120 -80 -70
5812 -130 -120 -90 -80
7811 -120 -110 80 90
7711 -120 -110 70 80
7611 -120 -110 60 70
7511 -120 -110 50 60
7411 -120 -110 40 50
7311 -120 -110 30 40
7211 -120 -110 20 30
7111 -120 -110 10 20
7011 -120 -110 0 10
5011 -120 -110 -10 0
5111 -120 -110 -20 -10
5211 -120 -110 -30 -20
5311 -120 -110 -40 -30
5411 -120 -110 -50 -40
5511 -120 -110 -60 -50
5611 -120 -110 -70 -60
5711 -120 -110 -80 -70
5811 -120 -110 -90 -80
7810 -110 -100 80 90
7710 -110 -100 70 80
7610 -110 -100 60 70
7510 -110 -100 50 60
7410 -110 -100 40 50
7310 -110 -100 30 40
7210 -110 -100 20 30
7110 -110 -100 10 20
7010 -110 -100 0 10
5010 -110 -100 -10 0
5110 -110 -100 -20 -10
5210 -110 -100 -30 -20
5310 -110 -100 -40 -30
5410 -110 -100 -50 -40
5510 -110 -100 -60 -50
5610 -110 -100 -70 -60
5710 -110 -100 -80 -70
5810 -110 -100 -90 -80
7809 -100 -90 80 90
7709 -100 -90 70 80
7609 -100 -90 60 70
7509 -100 -90 50 60
7409 -100 -90 40 50
7309 -100 -90 30 40
7209 -100 -90 20 30
7109 -100 -90 10 20
7009 -100 -90 0 10
5009 -100 -90 -10 0
5109 -100 -90 -20 -10
5209 -100 -90 -30 -20
5309 -100 -90 -40 -30
5409 -100 -90 -50 -40
5509 -100 -90 -60 -50
5609 -100 -90 -70 -60
5709 -100 -90 -80 -70
5809 -100 -90 -90 -80
7808 -90 -80 80 90
7708 -90 -80 70 80
7608 -90 -80 60 70
7508 -90 -80 50 60
7408 -90 -80 40 50
7308 -90 -80 30 40
7208 -90 -80 20 30
7108 -90 -80 10 20
7008 -90 -80 0 10
5008 -90 -80 -10 0
5108 -90 -80 -20 -10
5208 -90 -80 -30 -20
5308 -90 -80 -40 -30
