# source lat long PCM_LABELS
1900972_058.DEANROEMMICH -43.642 5.468 0
1900972_059.DEANROEMMICH -43.212 5.858 0
1900972_060.DEANROEMMICH -42.983 6.298 0
1900972_062.DEANROEMMICH -42.796 6.993 0
1900972_063.DEANROEMMICH -42.401 7.784 0
1900972_064.DEANROEMMICH -42.168 8.616 0
1900972_065.DEANROEMMICH -42.015 8.823 0
1900972_068.DEANROEMMICH -42.052 9.201 0
1900972_070.DEANROEMMICH -42.009 9.557 0
1900972_071.DEANROEMMICH -42.279 9.732 0
1900973_042.GREGORYC.JOHNSON -49.665 1.849 2
1900973_043.GREGORYC.JOHNSON -49.097 3.785 2
1900973_044.GREGORYC.JOHNSON -49.009 5.937 2
1900973_047.GREGORYC.JOHNSON -49.889 7.843 2
1900973_048.GREGORYC.JOHNSON -49.740 8.554 2
1900973_049.GREGORYC.JOHNSON -49.745 9.838 2
1900974_076.GREGORYC.JOHNSON -48.745 1.000 2
1900974_077.GREGORYC.JOHNSON -48.952 2.081 2
1900974_078.GREGORYC.JOHNSON -49.142 2.753 2
1900974_079.GREGORYC.JOHNSON -48.631 3.464 2
1900974_080.GREGORYC.JOHNSON -48.362 4.475 2
1900974_081.GREGORYC.JOHNSON -48.754 5.455 2
1900974_082.GREGORYC.JOHNSON -48.858 6.581 2
1900974_083.GREGORYC.JOHNSON -48.988 8.502 2
1900975_040.GREGORYC.JOHNSON -49.584 2.203 2
1900975_041.GREGORYC.JOHNSON -48.747 3.550 2
1900975_042.GREGORYC.JOHNSON -49.204 5.468 0
1900975_043.GREGORYC.JOHNSON -48.727 6.998 2
1900975_044.GREGORYC.JOHNSON -48.640 8.824 2
1900975_045.GREGORYC.JOHNSON -48.636 9.067 2
1900975_046.GREGORYC.JOHNSON -49.212 9.599 2
1900977_017.GREGORYC.JOHNSON -45.581 0.553 2
1900977_018.GREGORYC.JOHNSON -46.254 2.007 2
1900977_019.GREGORYC.JOHNSON -47.370 2.528 2
