# source lat long PCM_LABELS
"11115926" -18.000 1.170 2
"11124818" -18.760 8.952 2
"11125259" -18.653 6.762 2
"11129580" -18.998 4.000 2
"11130304" -19.000 8.503 2
"11132437" -17.805 1.822 2
"11132435" -18.190 0.850 2
"11202961" -18.698 1.002 2
"2670634" -18.998 0.200 2
"2670645" -18.995 0.728 2
"2670662" -19.000 1.250 2
"2670676" -19.000 1.770 2
"2670691" -19.000 2.300 2
"2670712" -19.000 2.827 2
"2670737" -19.000 3.347 2
"2670750" -18.995 3.877 2
"2670762" -18.995 4.400 2
"2670779" -18.997 4.918 2
"2670785" -19.000 5.450 2
"2670793" -19.000 5.973 2
"2670802" -18.992 6.505 2
"2670895" -18.995 7.023 2
"2670916" -18.995 7.552 2
"2670949" -18.780 8.555 2
"2732882" -19.000 5.000 2
"2732894" -18.502 4.997 2
"2670962" -18.537 9.032 2
"11116053" -19.013 1.220 2
"11116072" -19.987 1.258 2
"2670931" -19.010 8.082 2
"2732874" -19.498 5.000 2
"11124819" -19.633 9.058 2
"24542991" -18.867 9.667 2
"24555477" -19.701 7.999 2
"24555485" -19.932 9.299 2
"33RO20100308_00069_00001" -20.000 1.260 2
"33RO20100308_00070_00001" -19.500 1.242 1
"33RO20100308_00071_00001" -19.000 1.225 2
"33RO20100308_00072_00001" -18.500 1.200 2
"33RO20100308_00072_00003" -18.500 1.200 2
"33RO20100308_00073_00001" -18.000 1.175 2
"33RO20100308_00074_00001" -17.500 1.142 2
"316N19831007_a13_1983_0056_ct1" -18.000 1.170 2
"316N19831007_a13_1983_0055_ct1" -19.013 1.220 2
"316N19831007_a13_1983_0054_ct1" -19.987 1.258 2
"33RO20100308_a13_2010_0069_ct1" -20.000 1.260 2
"33RO20100308_a13_2010_0070_ct1" -19.500 1.242 1
"33RO20100308_a13_2010_0071_ct1" -19.000 1.225 2
"33RO20100308_a13_2010_0072_ct1" -18.500 1.200 2
"33RO20100308_a13_2010_0073_ct1" -18.000 1.175 2
"33RO20100308_a13_2010_0074_ct1" -17.500 1.142 2
"10993815" -23.997 8.505 2
"10993832" -20.000 2.000 2
"11082252" -23.885 0.772 2
"11082253" -23.816 0.072 1
"11082254" -23.771 0.854 1
"11082256" -23.643 2.553 1
"11082258" -23.536 4.172 2
"11082264" -23.500 4.988 2
"11082272" -23.390 6.617 2
"11116089" -21.023 1.320 2
"11116106" -21.977 1.393 2
"11116119" -22.992 1.438 2
"11116249" -23.990 1.502 1
"11116262" -25.000 1.558 2
"11116283" -25.992 1.627 2
"11116330" -27.988 1.727 2
"11116356" -28.998 1.785 1
"11124824" -21.262 7.508 2
"11126341" -22.993 2.988 1
"11126499" -20.392 2.445 2
"11129579" -20.000 4.002 2
"11129581" -21.003 4.007 2
"11129604" -22.002 4.005 2
"11129605" -22.992 4.017 2
"11129753" -26.002 4.000 2
"11129637" -25.000 3.997 2
"11129638" -24.005 3.998 2
"11129779" -26.002 7.338 2
"11129780" -25.993 5.113 2
"11129781" -26.002 6.237 2
"11129799" -28.007 8.503 2
"11129820" -26.005 8.503 2
"11129821" -24.002 8.500 2
