# source lat long PCM_LABELS
"1901485_091.BRECKOWENS" -18.957 0.428 1.0
"1901485_092.BRECKOWENS" -18.880 0.263 1.0
"1901485_093.BRECKOWENS" -18.876 0.079 1.0
"1901485_098.BRECKOWENS" -19.576 0.015 1.0
"1901485_099.BRECKOWENS" -19.558 0.268 1.0
"1901485_100.BRECKOWENS" -19.543 0.393 1.0
"1901485_101.BRECKOWENS" -19.526 0.510 1.0
"1901485_102.BRECKOWENS" -19.314 0.446 1.0
"1901485_103.BRECKOWENS" -18.939 0.156 1.0
"1901485_118.BRECKOWENS" -18.685 0.218 1.0
"1901485_119.BRECKOWENS" -18.897 0.426 1.0
"1901485_120.BRECKOWENS" -19.244 0.610 1.0
"1901485_121.BRECKOWENS" -19.467 0.806 1.0
"1901485_122.BRECKOWENS" -19.483 1.037 1.0
"1901485_123.BRECKOWENS" -19.471 1.238 1.0
"1901485_124.BRECKOWENS" -19.522 1.396 1.0
"1901485_125.BRECKOWENS" -19.627 1.573 1.0
"1901485_126.BRECKOWENS" -19.665 1.827 1.0
"1901485_127.BRECKOWENS" -19.589 2.102 1.0
"1901485_128.BRECKOWENS" -19.416 2.318 1.0
"1901485_129.BRECKOWENS" -19.193 2.514 1.0
"1901485_130.BRECKOWENS" -19.002 2.689 1.0
"1901485_131.BRECKOWENS" -18.942 2.862 1.0
"1901485_132.BRECKOWENS" -19.035 3.065 1.0
"1901485_133.BRECKOWENS" -19.134 3.233 1.0
"1901485_134.BRECKOWENS" -19.210 3.288 1.0
"1901485_135.BRECKOWENS" -19.281 3.291 1.0
"1901485_136.BRECKOWENS" -19.309 3.219 1.0
"1901485_137.BRECKOWENS" -19.296 3.073 1.0
"1901485_138.BRECKOWENS" -19.263 2.900 1.0
"1901485_139.BRECKOWENS" -19.219 2.686 1.0
"1901485_140.BRECKOWENS" -19.134 2.466 1.0
"1901485_141.BRECKOWENS" -19.015 2.261 1.0
"1901485_142.BRECKOWENS" -18.869 2.113 1.0
"1901485_143.BRECKOWENS" -18.762 1.966 1.0
"1901620_134.BRECKOWENS" -20.000 7.534 1.0
"1901620_135.BRECKOWENS" -19.885 7.415 1.0
"1901620_136.BRECKOWENS" -19.858 7.336 1.0
"1901620_137.BRECKOWENS" -19.894 7.321 1.0
"1901620_138.BRECKOWENS" -19.881 7.305 1.0
"1901620_139.BRECKOWENS" -19.810 7.244 1.0
