# source lat long PCM_LABELS
"4901219_186.BRECKOWENS" 44.561 339.740 2.0
"6900621_103.JonTurton" 44.249 339.996 3.0
"6900621_109.JonTurton" 44.636 339.920 2.0
"6900621_119.JonTurton" 43.497 339.779 2.0
"6900650_087.SheenaFennell" 43.209 339.700 3.0
"6900650_089.SheenaFennell" 43.838 339.515 3.0
"6900650_091.SheenaFennell" 42.917 339.508 3.0
"6900650_109.SheenaFennell" 43.543 339.664 2.0
"1901192_015.ChristineCoatanoan" 44.433 339.894 2.0
"1901192_074.ChristineCoatanoan" 44.806 339.841 3.0
"1901192_133.ChristineCoatanoan" 44.101 339.708 2.0
"1901205_051.VirginieTHIERRY" 43.139 339.456 2.0
"1901206_041.VirginieTHIERRY" 41.227 339.947 3.0
"5902307_047.VirginieTHIERRY" 44.356 339.700 3.0
"6900209_021.Klaus-PeterKOLTERMANN" 44.446 339.909 2.0
"6900209_024.Klaus-PeterKOLTERMANN" 43.321 339.432 3.0
"6900209_025.Klaus-PeterKOLTERMANN" 42.974 339.616 3.0
"6900209_026.Klaus-PeterKOLTERMANN" 42.617 339.656 3.0
"6900209_027.Klaus-PeterKOLTERMANN" 42.456 339.687 3.0
"6900209_028.Klaus-PeterKOLTERMANN" 42.421 339.978 3.0
"6900209_029.Klaus-PeterKOLTERMANN" 42.409 339.857 3.0
"6900209_030.Klaus-PeterKOLTERMANN" 42.496 339.804 3.0
"6900209_031.Klaus-PeterKOLTERMANN" 42.388 339.655 3.0
"6900212_029.Klaus-PeterKOLTERMANN" 42.795 339.592 3.0
"6900214_081.Klaus-PeterKOLTERMANN" 41.867 339.926 3.0
"6900214_085.Klaus-PeterKOLTERMANN" 41.270 339.935 2.0
"6900214_096.Klaus-PeterKOLTERMANN" 41.273 339.914 0.0
"6900250_097.Klaus-PeterKOLTERMANN" 41.990 339.817 3.0
"6900250_104.Klaus-PeterKOLTERMANN" 43.219 339.491 3.0
"6900250_106.Klaus-PeterKOLTERMANN" 43.225 339.630 3.0
"6900250_107.Klaus-PeterKOLTERMANN" 42.807 339.508 3.0
"6900251_162.BirgitKLEIN" 41.588 339.761 2.0
"6900251_163.BirgitKLEIN" 41.235 339.915 2.0
"6900252_041.BirgitKLEIN" 42.310 339.631 2.0
"6900252_042.BirgitKLEIN" 41.897 339.992 2.0
"6900252_108.BirgitKLEIN" 44.585 339.812 3.0
"6900254_107.BirgitKLEIN" 41.316 339.811 3.0
"6900254_108.BirgitKLEIN" 41.472 339.784 3.0
"6900254_109.BirgitKLEIN" 41.533 339.879 2.0
"6900254_110.BirgitKLEIN" 41.461 339.862 3.0
"6900256_032.BirgitKLEIN" 42.211 339.978 3.0
"6900259_078.BirgitKLEIN" 43.862 339.867 3.0
"6900259_081.BirgitKLEIN" 42.786 339.760 3.0
"6900266_055.BirgitKLEIN" 42.304 339.949 3.0
"6900266_056.BirgitKLEIN" 41.883 339.662 0.0
"6900324_156.BirgitKLEIN" 44.239 339.947 2.0
"6900402_119.VirginieTHIERRY" 41.366 339.995 2.0
"6900404_074.VirginieTHIERRY" 41.440 339.822 2.0
"6900404_075.VirginieTHIERRY" 41.926 339.671 2.0
"6900404_076.VirginieTHIERRY" 42.443 339.652 2.0
"6900404_077.VirginieTHIERRY" 42.605 339.567 2.0
"6900404_078.VirginieTHIERRY" 42.579 339.660 2.0
"6900404_079.VirginieTHIERRY" 42.572 339.613 2.0
"6900404_081.VirginieTHIERRY" 43.404 339.415 2.0
"6900404_082.VirginieTHIERRY" 42.932 339.923 2.0
"6900493_025.VirginieTHIERRY" 43.197 339.595 2.0
"6900493_026.VirginieTHIERRY" 43.823 339.754 2.0
"6900495_100.VirginieTHIERRY" 44.690 339.854 2.0
"6900495_111.VirginieTHIERRY" 44.614 339.864 3.0
"6900496_017.VirginieTHIERRY" 44.027 339.507 2.0
"6900496_018.VirginieTHIERRY" 43.990 339.883 2.0
"6900496_032.VirginieTHIERRY" 43.173 339.944 3.0
"6900517_075.BirgitKLEIN" 44.212 339.734 3.0
"6900972_021.CecileCABANES" 43.704 339.570 2.0
"6900972_022.CecileCABANES" 43.416 339.510 2.0
"6902645_089.BirgitKLEIN" 43.393 339.655 3.0
"6902645_097.BirgitKLEIN" 43.036 339.725 2.0
"6902647_050.BirgitKLEIN" 42.272 339.588 3.0
"6902647_051.BirgitKLEIN" 42.269 339.773 3.0
"6902647_052.BirgitKLEIN" 42.190 339.732 3.0
"6902647_053.BirgitKLEIN" 42.177 339.578 3.0
"6902647_054.BirgitKLEIN" 42.362 339.770 3.0
"6901926_020.DiarmuidO'Conchubhair" 50.017 345.240 3.0
"6900244_124.Klaus-PeterKOLTERMANN" 50.347 346.880 3.0
"6900244_125.Klaus-PeterKOLTERMANN" 50.398 347.826 3.0
"6900244_126.Klaus-PeterKOLTERMANN" 50.669 347.644 3.0
"6900244_130.Klaus-PeterKOLTERMANN" 50.218 346.002 3.0
"6900244_131.Klaus-PeterKOLTERMANN" 50.338 346.352 2.0
"6900244_132.Klaus-PeterKOLTERMANN" 50.376 345.838 2.0
"6900244_142.Klaus-PeterKOLTERMANN" 50.356 345.936 3.0
"6900277_119.AndreasSTERL" 50.004 344.879 2.0
"6900277_125.AndreasSTERL" 50.245 345.640 2.0
"6900277_129.AndreasSTERL" 50.462 346.226 2.0
"6900277_130.AndreasSTERL" 50.067 346.287 2.0
"6900493_152.VirginieTHIERRY" 50.088 346.035 3.0
"6900493_153.VirginieTHIERRY" 50.401 346.634 3.0
"6900493_167.VirginieTHIERRY" 50.073 345.914 2.0
"6900498_167.VirginieTHIERRY" 50.199 345.738 2.0
"6900498_169.VirginieTHIERRY" 50.060 345.240 2.0
"6900498_171.VirginieTHIERRY" 50.378 346.089 2.0
"6900516_116.BirgitKLEIN" 50.059 346.630 2.0
"6900516_117.BirgitKLEIN" 50.426 346.885 2.0
"6900516_118.BirgitKLEIN" 50.434 347.674 2.0
"6900516_123.BirgitKLEIN" 50.114 345.378 3.0
"1900749_119.BRECKOWENS" 40.284 349.454 2.0
"1900749_120.BRECKOWENS" 40.192 349.455 0.0
"1900749_121.BRECKOWENS" 40.124 349.113 2.0
"1900749_122.BRECKOWENS" 40.165 349.385 0.0
"4901219_172.BRECKOWENS" 47.000 341.404 3.0
"4901219_173.BRECKOWENS" 46.601 341.458 3.0
"4901219_174.BRECKOWENS" 46.182 341.677 3.0
"4901219_175.BRECKOWENS" 45.976 341.307 3.0
"4901219_176.BRECKOWENS" 45.986 341.072 3.0
"4901219_177.BRECKOWENS" 46.009 340.893 3.0
"4901219_178.BRECKOWENS" 45.993 340.611 3.0
"4901219_179.BRECKOWENS" 45.789 340.424 3.0
"4901219_180.BRECKOWENS" 45.484 340.513 3.0
"4901219_181.BRECKOWENS" 45.430 340.568 3.0
"4901219_182.BRECKOWENS" 45.591 340.493 2.0
"4901219_183.BRECKOWENS" 45.535 340.131 2.0
"4901219_187.BRECKOWENS" 44.508 340.184 2.0
"4901219_188.BRECKOWENS" 44.483 340.413 2.0
"4901219_189.BRECKOWENS" 44.814 340.775 2.0
"4901219_190.BRECKOWENS" 45.308 341.298 2.0
"4901219_191.BRECKOWENS" 45.355 342.291 2.0
"4901219_192.BRECKOWENS" 44.779 342.868 2.0
"4901219_193.BRECKOWENS" 44.017 343.074 2.0
"4901219_194.BRECKOWENS" 44.009 343.236 2.0
"4901219_195.BRECKOWENS" 44.044 343.192 2.0
"4901219_196.BRECKOWENS" 43.820 342.657 2.0
"4901219_197.BRECKOWENS" 43.478 342.489 3.0
