# source lat long PCM_LABELS
"11117133" -41.353 0.980 3.0
"11117143" -42.673 1.340 3.0
"11117153" -44.010 1.353 3.0
"11117164" -45.020 1.332 3.0
"11117291" -43.903 3.107 3.0
"11117305" -42.805 4.880 3.0
"11117314" -41.697 6.633 3.0
"11121115" -42.648 1.337 3.0
"11121133" -44.003 1.387 3.0
"11121262" -45.020 1.328 3.0
"11121277" -46.018 1.292 2.0
"11121295" -46.512 1.347 2.0
"11121306" -47.010 1.302 2.0
"11121317" -47.517 1.280 2.0
"11121328" -47.997 1.317 2.0
"11121360" -48.993 1.173 2.0
"2647077" -48.693 5.262 2.0
"2647084" -47.570 5.827 2.0
"2647097" -47.000 6.667 2.0
"2647112" -46.160 7.855 2.0
"2647178" -45.583 8.683 3.0
"2700144" -41.300 8.550 3.0
"2700178" -41.517 7.733 3.0
"2700198" -41.767 6.900 3.0
"2700366" -42.000 6.050 3.0
"2700381" -42.233 5.200 3.0
"2700426" -42.450 4.367 3.0
"2700444" -42.683 3.533 3.0
"2700471" -42.933 2.667 3.0
"2700500" -43.600 2.133 3.0
"2700521" -44.250 1.833 3.0
"2700544" -44.883 1.533 3.0
"2700569" -45.500 1.233 3.0
"2700578" -45.817 1.067 2.0
"2700583" -46.133 0.917 2.0
"2700606" -46.767 0.600 2.0
"2700623" -47.400 0.283 2.0
"2700636" -48.000 0.000 2.0
"2647189" -44.887 9.497 3.0
"2647195" -44.885 9.502 3.0
"2647212" -43.948 9.850 3.0
"2700110" -41.050 9.400 3.0
"11121498" -49.877 1.368 2.0
"2647072" -49.498 4.750 2.0
"2694994" -49.920 5.852 2.0
"27057863" -49.983 0.033 2.0
"33RO20100308_00010_00001" -49.499 0.626 2.0
"33RO20100308_00011_00001" -49.000 0.693 2.0
"33RO20100308_00012_00001" -48.501 0.762 2.0
"33RO20100308_00013_00001" -48.000 0.831 2.0
"33RO20100308_00014_00001" -47.500 0.901 2.0
"33RO20100308_00015_00001" -47.000 0.970 2.0
"33RO20100308_00016_00001" -46.500 1.040 2.0
"33RO20100308_00017_00001" -46.000 1.109 2.0
"33RO20100308_00018_00001" -45.500 1.178 3.0
"33RO20100308_00019_00001" -45.000 1.247 3.0
"33RO20100308_00020_00001" -44.501 1.315 3.0
"33RO20100308_00021_00001" -44.000 1.350 3.0
"33RO20100308_00022_00001" -43.501 1.341 3.0
"33RO20100308_00023_00001" -42.833 1.331 3.0
"33RO20100308_00024_00001" -42.414 1.289 3.0
"33RO20100308_00026_00001" -41.583 1.009 3.0
"MV1101_00109_00001" -42.632 3.335 3.0
"2636404" -42.895 8.975 3.0
"2636419" -44.967 5.973 2.0
"2897613" -49.897 9.558 2.0
"4638465" -49.993 0.005 2.0
"4638482" -49.000 0.000 2.0
"4638491" -48.000 0.000 2.0
"4638504" -47.058 0.513 2.0
"4570963" -46.128 1.023 2.0
"4570981" -45.188 1.522 3.0
"4570999" -44.253 2.007 3.0
"4571016" -43.317 2.495 3.0
"4571035" -42.587 3.955 3.0
"4571069" -42.000 6.080 3.0
"4571120" -41.000 9.652 3.0
"50699716" -44.929 7.484 2.0
"50699724" -44.416 8.699 3.0
"50699733" -43.907 9.890 3.0
