# source lat long PCM_LABELS
"3900424_025.aoml_DEANROEMMICH" -58.706 294.994 2.0
"3900424_026.aoml_DEANROEMMICH" -58.603 295.509 1.0
"3900424_027.aoml_DEANROEMMICH" -58.439 295.396 1.0
"3900424_028.aoml_DEANROEMMICH" -58.245 294.963 1.0
"3900424_029.aoml_DEANROEMMICH" -57.268 294.564 2.0
"3900424_030.aoml_DEANROEMMICH" -56.736 298.820 2.0
"3900424_031.aoml_DEANROEMMICH" -55.700 298.718 2.0
"3900425_058.aoml_DEANROEMMICH" -57.301 291.737 2.0
"3900425_059.aoml_DEANROEMMICH" -57.224 293.710 2.0
"3900425_060.aoml_DEANROEMMICH" -56.861 294.280 2.0
"3900425_061.aoml_DEANROEMMICH" -55.235 296.119 2.0
"3900425_062.aoml_DEANROEMMICH" -55.169 299.978 2.0
"3900426_029.aoml_DEANROEMMICH" -58.172 291.545 2.0
"3900426_030.aoml_DEANROEMMICH" -58.202 294.177 2.0
"3900426_031.aoml_DEANROEMMICH" -57.194 295.024 2.0
"3900426_032.aoml_DEANROEMMICH" -56.502 294.560 2.0
"3900426_033.aoml_DEANROEMMICH" -55.791 294.701 2.0
"3900426_034.aoml_DEANROEMMICH" -55.069 298.055 2.0
"3900427_042.aoml_DEANROEMMICH" -57.006 293.033 2.0
"3900427_043.aoml_DEANROEMMICH" -55.929 294.715 2.0
"3900427_044.aoml_DEANROEMMICH" -56.017 295.172 2.0
"3900427_045.aoml_DEANROEMMICH" -55.009 299.639 2.0
"3900429_019.aoml_DEANROEMMICH" -56.881 291.127 2.0
"3900429_020.aoml_DEANROEMMICH" -57.587 293.098 2.0
"3900429_021.aoml_DEANROEMMICH" -57.195 294.124 2.0
"3900429_022.aoml_DEANROEMMICH" -55.605 294.534 2.0
"3900429_023.aoml_DEANROEMMICH" -55.018 299.475 2.0
"3900447_077.aoml_DEANROEMMICH" -57.431 291.057 2.0
"3900447_078.aoml_DEANROEMMICH" -57.944 296.123 2.0
"3900447_079.aoml_DEANROEMMICH" -56.167 294.792 2.0
"3900447_080.aoml_DEANROEMMICH" -54.998 299.089 2.0
"3900540_031.aoml_STEPHENRISER" -59.285 291.956 2.0
"3900540_032.aoml_STEPHENRISER" -58.758 295.520 1.0
"3900540_033.aoml_STEPHENRISER" -57.558 295.371 2.0
"3900540_034.aoml_STEPHENRISER" -55.700 297.038 2.0
"3900634_083.aoml_DEANROEMMICH" -57.852 290.721 2.0
"3900634_084.aoml_DEANROEMMICH" -57.444 291.561 2.0
"3900634_085.aoml_DEANROEMMICH" -57.791 294.007 2.0
"3900634_086.aoml_DEANROEMMICH" -57.904 297.978 2.0
"3900634_087.aoml_DEANROEMMICH" -55.599 296.347 2.0
"3900634_088.aoml_DEANROEMMICH" -56.313 298.782 2.0
"3900634_089.aoml_DEANROEMMICH" -55.195 298.555 2.0
"3900635_097.aoml_DEANROEMMICH" -57.701 290.631 2.0
"3900635_099.aoml_DEANROEMMICH" -58.050 290.845 2.0
"3900635_100.aoml_DEANROEMMICH" -58.372 292.819 2.0
"3900635_101.aoml_DEANROEMMICH" -56.837 294.788 2.0
"3900635_102.aoml_DEANROEMMICH" -55.744 296.486 2.0
"3900636_060.aoml_DEANROEMMICH" -58.965 291.365 2.0
"3900636_061.aoml_DEANROEMMICH" -58.910 293.077 2.0
"3900636_062.aoml_DEANROEMMICH" -58.495 294.368 2.0
"3900636_063.aoml_DEANROEMMICH" -57.432 296.761 2.0
"3900636_064.aoml_DEANROEMMICH" -58.182 297.947 2.0
"3900636_065.aoml_DEANROEMMICH" -58.571 299.569 2.0
"3900638_043.aoml_DEANROEMMICH" -57.372 291.157 2.0
"3900638_044.aoml_DEANROEMMICH" -58.136 294.029 2.0
"3900638_045.aoml_DEANROEMMICH" -57.720 295.283 2.0
"3900638_046.aoml_DEANROEMMICH" -57.491 295.281 2.0
"3900638_047.aoml_DEANROEMMICH" -55.630 295.230 2.0
"3900638_048.aoml_DEANROEMMICH" -55.582 299.769 2.0
"3900638_049.aoml_DEANROEMMICH" -55.812 298.784 2.0
