# source lat long PCM_LABELS
4900804_009.BRECKOWENS 40.647 296.686 2
4900804_010.BRECKOWENS 41.422 296.809 0
4900804_011.BRECKOWENS 41.530 296.067 0
4900804_012.BRECKOWENS 41.761 295.486 0
4900804_013.BRECKOWENS 41.462 295.091 0
4900804_014.BRECKOWENS 41.533 295.463 0
4900804_015.BRECKOWENS 41.627 295.383 2
4900804_016.BRECKOWENS 41.554 294.791 0
4900804_017.BRECKOWENS 41.387 294.503 0
4900804_018.BRECKOWENS 41.085 294.264 0
4900804_019.BRECKOWENS 40.470 294.127 0
4900804_020.BRECKOWENS 40.482 294.174 0
4900804_021.BRECKOWENS 40.494 294.369 0
4900804_022.BRECKOWENS 40.797 295.121 0
4900804_023.BRECKOWENS 40.781 294.858 0
4900804_024.BRECKOWENS 40.105 294.187 0
4900804_072.BRECKOWENS 40.402 296.590 2
4900804_084.BRECKOWENS 40.301 293.131 3
4900804_085.BRECKOWENS 40.843 293.994 0
4900804_086.BRECKOWENS 40.103 293.474 0
4901057_190.BRECKOWENS 40.128 299.583 1
4901278_102.BRECKOWENS 40.060 295.199 2
4901400_165.BRECKOWENS 40.865 298.105 3
4901462_041.BRECKOWENS 40.350 296.578 0
4901462_042.BRECKOWENS 40.171 295.777 0
4901462_043.BRECKOWENS 40.345 296.351 2
4901462_044.BRECKOWENS 40.390 298.020 2
4901591_076.BRECKOWENS,STEVEJAYNE,P.E.ROBBINS 40.436 298.247 0
4901591_100.BRECKOWENS,STEVEJAYNE,P.E.ROBBINS 42.023 299.714 2
4901591_101.BRECKOWENS,STEVEJAYNE,P.E.ROBBINS 41.956 299.735 2
4901591_102.BRECKOWENS,STEVEJAYNE,P.E.ROBBINS 41.683 298.747 2
4901591_103.BRECKOWENS,STEVEJAYNE,P.E.ROBBINS 42.112 298.439 2
4901591_104.BRECKOWENS,STEVEJAYNE,P.E.ROBBINS 42.063 297.942 0
4901591_105.BRECKOWENS,STEVEJAYNE,P.E.ROBBINS 41.704 296.973 0
4901591_106.BRECKOWENS,STEVEJAYNE,P.E.ROBBINS 41.513 296.271 0
4901591_107.BRECKOWENS,STEVEJAYNE,P.E.ROBBINS 41.511 295.943 0
4901591_108.BRECKOWENS,STEVEJAYNE,P.E.ROBBINS 41.354 295.725 2
4901591_109.BRECKOWENS,STEVEJAYNE,P.E.ROBBINS 41.202 296.250 0
4901591_110.BRECKOWENS,STEVEJAYNE,P.E.ROBBINS 40.961 295.699 0
4901591_111.BRECKOWENS,STEVEJAYNE,P.E.ROBBINS 40.341 293.876 0
4901591_112.BRECKOWENS,STEVEJAYNE,P.E.ROBBINS 40.121 292.926 0
4901629_037.BRECKOWENS,STEVENJAYNE,P.E.ROBBINS 40.029 298.586 2
4901631_120.BRECKOWENS,STEVENJAYNE,P.E.ROBBINS 40.494 298.913 3
4901631_123.BRECKOWENS,STEVENJAYNE,P.E.ROBBINS 40.878 299.063 0
4901631_125.BRECKOWENS,STEVENJAYNE,P.E.ROBBINS 40.836 298.426 0
4901631_135.BRECKOWENS,STEVENJAYNE,P.E.ROBBINS 42.194 299.955 0
4901631_136.BRECKOWENS,STEVENJAYNE,P.E.ROBBINS 41.958 299.516 0
4901631_137.BRECKOWENS,STEVENJAYNE,P.E.ROBBINS 41.352 298.930 2
4901631_141.BRECKOWENS,STEVENJAYNE,P.E.ROBBINS 41.013 299.427 0
4901631_142.BRECKOWENS,STEVENJAYNE,P.E.ROBBINS 40.039 299.049 2
4901631_161.BRECKOWENS,STEVENJAYNE,P.E.ROBBINS 42.293 299.930 0
4901631_162.BRECKOWENS,STEVENJAYNE,P.E.ROBBINS 41.630 298.951 0
4901631_163.BRECKOWENS,STEVENJAYNE,P.E.ROBBINS 41.507 298.381 2
4901631_164.BRECKOWENS,STEVENJAYNE,P.E.ROBBINS 41.450 297.415 0
4901704_011.BRECKOWENS,STEVENJAYNE,P.E.ROBBINS 40.616 297.594 3
4901704_012.BRECKOWENS,STEVENJAYNE,P.E.ROBBINS 40.114 299.689 3
4901705_010.BRECKOWENS,STEVENJAYNE,P.E.ROBBINS 41.235 296.442 2
4901705_011.BRECKOWENS,STEVENJAYNE,P.E.ROBBINS 41.174 296.364 2
4901705_012.BRECKOWENS,STEVENJAYNE,P.E.ROBBINS 40.888 296.344 2
4901707_013.BRECKOWENS,STEVENJAYNE,P.E.ROBBINS 40.633 296.741 3
4901707_014.BRECKOWENS,STEVENJAYNE,P.E.ROBBINS 40.591 297.638 3
4901707_015.BRECKOWENS,STEVENJAYNE,P.E.ROBBINS 40.408 299.026 2
4901707_079.BRECKOWENS,STEVENJAYNE,P.E.ROBBINS 40.730 299.487 0
4901707_080.BRECKOWENS,STEVENJAYNE,P.E.ROBBINS 40.664 299.364 2
4901707_081.BRECKOWENS,STEVENJAYNE,P.E.ROBBINS 40.550 299.719 3
4902099_038.BRECKOWENS,STEVENJAYNE,P.E.ROBBINS 41.747 299.388 0
